語句,品詞,意味（小学校の単語リスト）
a.m.,副,午前
p.m.,副,午後
basketball,名,バスケットボール
what,形,何の、どんな
sound,動,…に聞こえる、思える
the,冠,［天体・時・方角など、1つしかないものをさす場合］the afternoon 午後
this,代,今、今回
turn,名,順番、番
please,副,どうぞ、お願いします、すみませんが
look,動,見る、目を向ける
it,代,［その場の状況から判断できる事物・事情を漠然とさす。ふつう訳さない］
it,代,それを［に］
me,代,［相手の言ったことを受けてIのかわりに］私
at,前,【方向】…をめがけて、…に向かって
we,代,人は、われわれはみな［自分を含めた人々をさす。日本語に訳さない場合が多い］
fun,名,楽しいこと
long,形,長い
song,名,歌
fine,形,（人が）元気な
pet,名,ペット、愛がん動物
stop,動,とまる、停止する
eat,動,…を食べる、食事をする
sad,形,悲しい
eel,名,ウナギ
gift,名,贈り物
man,名,男性、男の人
bench,名,ベンチ
picture,名,絵、絵画、写真
basket,名,かご、ざる、バスケット
kitchen,名,台所、キッチン
table,名,テーブル
all,代,全部、全員、全て、みな
elementary school,名,小学校
subject,名,教科、科目
junior high school,名,中学校（junior highともいう）
every,形,毎…、…ごとに
big,形,重要な、すごい
player,名,競技者、選手
brother,名,兄、弟、兄弟
year,名,…歳、年齢
old,形,…歳の、（作られてから）…年［月］になる
work,動,働く、作業をする
nature,名,自然
question,名,質問、疑問
weekend,名,週末
swim,動,泳ぐ
sometimes,副,ときどき
dolphin,名,イルカ
restaurant,名,レストラン
friendly,形,好意的な、親切な
dish,名,料理、（料理の）1品
let's,短,…しよう
to,前,【対象・関連】…に（とって）
fine,形,けっこうな
the,冠,［固有名詞につけて］the U.K. 英国
see,動,…に会う
start,動,始まる、出発する、開始する
ticket,名,切符、チケット
in,前,【時間】…に、…の間に、…後に
thank,名,感謝
well,間,①［ためらったり、返事に詰まったりして］ええと、そうですね
hand,名,手
towel,名,タオル、手拭い
wear,動,…を着ている、身につけている
clothes,名,［複数あつかい］衣服
in,前,【範囲】…において、…に関しては
play,動,（役）を演じる
help,動,…を手伝う、助ける、…の役に立つ
homework,名,宿題
all,副,全く、全て、すっかり
and,接,そして、それから
can,助,【許可】Can I ...? …してもよいですか。
can,助,【依頼】Can you ...? …してくれますか。
no,形,1つ［1人］も…ない、少しも…ない
on,副,（電気・ガス・水道などが）通じて、ついて、出て
this,形,この
busy,形,忙しい
talk,動,話す、しゃべる
up,副,[What's up?で] どうしたのですか。
am,助,［現在進行形を作る］
hello,間,（電話で）もしもし
at,前,【時刻・年齢】…に
buy,動,…を買う
people,名,人々
are,助,［現在進行形やbe going toを作る］
take,動,（写真など）を撮る
home,名,故郷
sorry,形,すまなく思って
